Accession_Name	Description	Synonyms	Availability	Shape	Size	Height	Width	Ribbing	Ground_Colour	Over_Colour	Over_Colour_P	Crunch	Flesh_Colour	Flowering	Picking	Russet	Crown	Coarseness
Reinette Dubuisson	Availability		Material available from the National Fruit Collection.	Flat	medium	48.00	67.00	strong	Yellow	Brown			Greenish	11th May10% flowering, 16th MayFull (80%) flowering, 23rd May90% petal fall	Mid October	very low		coarse
Reinette Grise de Billon (Puy de Dome)	Availability		Material available from the National Fruit Collection.	Flat globose	medium	50.50	60.00	weak	Green yellow	Orange			Cream	6th May10% flowering, 11th MayFull (80%) flowering, 17th May90% petal fall	Mid October	high-very high		fine
Reinette Grise de la Creuse	Availability		Material available from the National Fruit Collection.	Flat globose	medium-large	51.50	61.00	weak-medium	Yellow	Red		crisp	Cream	15th May10% flowering, 21st MayFull (80%) flowering, 29th May90% petal fall	Late October	very low		fine
Reinette Grise de Portugal	Origin unknown but recorded in 1798. Fruits have very fine, fairly tender, greenish yellow flesh with a sweet, subacid, perfumed flavour.	Graue Portugi sische Reinette, Graue Portugiesische Reinette, Portugal Grey Reinette, Portugie sische Lederreinette, Reinette d'Allemagne, Reinette de Portugal	Material available from the National Fruit Collection.	Truncate conical	medium-large			weak	Green				Greenish	1st May10% flowering, 6th MayFull (80%) flowering, 14th May90% petal fall	Mid October	high-very high		very fine
Reinette Grise du Canada	A russetted sport of Reinette du Canada. Triploid. Origin unknown but known since the early 1800s. Fruits have firm, rather coarse-textured, somewhat dry flesh with a sweet and moderate flavour.	Canada Gris, Graue Canada Reinette, Graue Canada-Reinette, Graue Reinette von Canada, Grise du Canada, Monstrueuse du Canada, Passe Pomme du Canada, Passe-Pomme du Canada, Reinette de Canada (Grise), Reinette de Canada Grise, Reinette du Canada Grise, Reinette du Canada Platte, Reinette Grise, Reinette Grise de Canada, Renet Cenusiu de Canada, Renet seryi kanadskii, Renetta del Canada Rugginosa, Renetta Grigia del Canada, Smaragda, Takapuna Russet	Material available from the National Fruit Collection.	Broad globose conical	large	60.00	77.50	medium	Green yellow	Brown			Yellowish	6th May10% flowering, 12th MayFull (80%) flowering, 20th May90% petal fall	Early October	high-very high		fine
Reinette Grise Haute-Bonte	A very old variety originating from France. Fruits have firm flesh with a good flavour.		Material available from the National Fruit Collection.	Broad globose conical	small-medium			weak	Green yellow	Brown				""		high-very high	weak	
Reinette Marbree	Originated in the Netherlands. Described in 1760. Fruits have compact, firm, whitish flesh with a very sweet and perfumed flavour.	a Caracteres, Character, Character Apple, Character of Drap d' Or, Characterreinette, Charakter Reinette, Charakter-Reinette, Cimetiere, Concombre des Chartreux, de SaintJulien, Drap d'Or, Gestrichte Herbst-Reinette, Gestrickte Herbst Reinette, Gestrickte Reinette, Heilige Julian's Apfel, Julien, Karakter Reinette, Neetjes Apple, Netz Reinette, Pomme de Caractere, Pomme de Saint-Julien, Pomme de St. Julien, Reinette Brodee, Reinette Caractere, Reinette de Caractere, Reinette Drap d'Or, Reinette Filee, Reinette Valkenier, Saint Julian, Seigneur d'Orsay	Material available from the National Fruit Collection.	Globose conical	medium			weak-medium	Whitish yellow	n/a			Yellowish	8th May10% flowering, 13th MayFull (80%) flowering, 20th May90% petal fall	Mid October	medium-high	weak	
Reinette Rouge Etoilee	Thought to have originated in Belgium or the Netherlands. It was first described in 1830. Widely grown in Europe. Fruits have firm, fine-textured, rather dry flesh with a slightly acid but little flavour.	Calvill Etoile, Calville Ambree, Calville Etoile, Calville Etoilee, Calville Etoille, Calville Etoillee, Calville Rouge Precoce, Early Red Calville, Etoile, Etoilee, Gwiazdkowe, Herzapfel, Hvezdnata reneta, Meuser's Rote Herbst Reinette, Meusser's Rote Herbst-Reinette, Pomme de Coeur, Pomme Etoilee, Reinette Constellee, Reinette Etoile, Reinette Etoilee, Reinette Rothe Stern, Reinette Saint-Lambert, Renet Rosu Stelat, Renet Zvezdchatui, Renet zvezdciatti, Reneta Gwiazdkowa, Renetta Rossa Stellata, Rote Stern Reinette, Rote Stern Renette, Rote Sternrenette, Roter Stern Reinette, Rothe SternReinette, Star, Star Reinette, Ster Apfel, Sterappel, Stern Reinette, Sternrenette, Sterreinette, Sterrenet, Zoete Reinette	Material available from the National Fruit Collection.	Flat globose	medium	55.00	68.00	very weak	Yellow	Red			Yellowish	9th May10% flowering, 14th MayFull (80%) flowering, 20th May90% petal fall	Late September	very low		fine
Reinette Sanguine du Rhin	Believed to have originated somewhere on the Rhine. Described in about 1840. Fruits have fine, somewhat soft, greenish white flesh with a sweetish flavour.	Bluthrothe Rheinische Reinette, Blutrote Reinische Reinette, Blutrote Rheinische Reinette, Blutrothe Rheinische Reinette, Renet Reinskii Krovavo-Krasnui, Sanguine du Rhin	Material available from the National Fruit Collection.	Oblong	medium	60.00	67.50	weak	Green yellow	Red	streaked		Greenish	11th May10% flowering, 15th MayFull (80%) flowering, 22nd May90% petal fall	Late October	low		fine
Reinette Simirenko	Thought to have originated in Russia. Found in the garden of P.F. Simirenko in the Ukraine. Described in 1895. Fruits have tender, crisp, greenish white flesh with a subacid flavour.	Reinette de Simirenko, Reinette Verte de Simirenko, Reinette Verte Incomparable, Renet Filibera, Renet P. F. Simirenko, Renet Simirenko, Simirenko, Simirenkova Reneta, Wood's Greening, Wood's Grunling, Zelenyi renet Simirenko, Zeleomi renet Simirenko	Material available from the National Fruit Collection.	Truncate conical	medium			medium	Whitish yellow	n/a		crisp	Cream	5th May10% flowering, 10th MayFull (80%) flowering, 17th May90% petal fall	Mid October	low	weak	
Reinette Thouin	Originated in the garden of M. Gillet de Laumont, Beaumont, near Montmorency, France and named after Andre Thouin. First fruited in 1822. Fruits have firm, crisp, coarse, greenish white flesh with a subacid flavour.	Bonne Thouin, Renet Tuen, Thouin's Reinette, Thouins Reinette	Material available from the National Fruit Collection.	Truncate conical	medium	51.00	57.00	medium	Yellow			crisp	Greenish	10th May10% flowering, 15th MayFull (80%) flowering, 23rd May90% petal fall	Late October	low-medium		coarse
Reinette van Berk's	Availability		Material available from the National Fruit Collection.	Truncate conical	medium	65.00	67.00	strong	Green yellow	Orange	striped	crisp	White	4th May10% flowering, 10th MayFull (80%) flowering, 17th May90% petal fall	Late October			fine
Reinette van Ekenstein	Raised in about 1830 by Jhr. Albarda van Ekenstein, Appingedam, Netherlands. Fruits have firm, yellowish flesh with a sweet subacid flavour.		Material available from the National Fruit Collection.	Oblong conical	medium-large			weak-medium	Whitish yellow	Orange			Cream	4th May10% flowering, 9th MayFull (80%) flowering, 15th May90% petal fall	Mid September	low	very weak	
Reinette Verte (Basses-Pyrenees)	Availability		Material available from the National Fruit Collection.	Globose conical	medium	53.88	63.83	weak	Green yellow	Red			Yellowish	9th May10% flowering, 13th MayFull (80%) flowering, 20th May90% petal fall	Late October	low	weak-medium	fine
Renetta Grigia di Torriana	A chance seedling which originated in Torriana di Barge, Cuneo, West Piedmont, Italy. First propagated by Recco Francesco and first distributed in about 1905. Fruits have tender, yellow flesh with a sweet and perfumed flavour.	Grigia di Torriana	Material available from the National Fruit Collection.	Globose	medium			weak	Green yellow	n/a		crisp	White	10th May10% flowering, 15th MayFull (80%) flowering, 22nd May90% petal fall	Late October	high-very high	weak	
Renora	Raised at the Institute of Fruit Research, Dresden-Pillnitz, Germany. Introduced in 1996. Fruits are crisp and fairly juicy. Resistant to scab.		Material in the National Fruit Collection not currently available.	Flat globose	large	71.09	76.30	weak-medium	Yellow	Orange		crisp-very crisp	Cream	29th April10% flowering, 1st MayFull (80%) flowering, 10th May90% petal fall	Mid October	low	weak-medium	
Renown	Raised at Welford Park, Newbury, by Charles Ross. First described in 1908. Received the Award of Merit from the Royal Horticultural Society in 1908. Fruits have firm, pale yellow flesh with a sweet, subacid flavour.		Material available from the National Fruit Collection.	Truncate conical	large	69.00	95.00	medium	Yellow	Red			Yellowish	9th May10% flowering, 14th MayFull (80%) flowering, 21st May90% petal fall	Late September			
Retina	Raised at the Institute of Fruit Research, Dresden-Pillnitz, Germany. Introduced in 1991. Fruits are sweet, crisp and juicy. Resistant to scab.		Material in the National Fruit Collection not currently available.	Globose conical	large	61.08	70.02	very weak	Green yellow	Red			Cream	22nd April10% flowering, 25th AprilFull (80%) flowering, 7th May90% petal fall	Late August	low	weak	
Reverend W. Wilks (LA 71A)	Raised by Veitch, Chelsea, England. First recorded in 1904. Received the Award of Merit in 1904 and a First Class Certificate in 1910 from the Royal Horticultural Society. Fruits have crisp, fine-textured, juicy flesh with a subacid flavour. Cooks well.	Reverend Wilks	Material available from the National Fruit Collection.	Truncate conical	large	76.00	88.00	weak	Whitish yellow		striped		White	2nd May10% flowering, 7th MayFull (80%) flowering, 14th May90% petal fall	Late August			
Rewena	Raised at the Institute of Fruit Research, Dresden-Pillnitz, Germany. Introduced in 1991. Fruits have a pleasant flavour but tend to be rather sour. Resistant to scab, mildew and fireblight.		Material in the National Fruit Collection not currently available.	Conical	medium-large			medium	Green yellow	Orange		crisp	Yellowish	5th May10% flowering, 8th MayFull (80%) flowering, 15th May90% petal fall	Early October	low	medium-strong	
Rheinischer Krummstiel	Originated in Germany. Described in 1821. Fruits have firm, crisp, fine, white tinged green flesh with a subacid and slightly sweet flavour.	Gestriefte Romer, Pomme du Rhin a queue courbee	Material available from the National Fruit Collection.	Ellipsoid	medium-large	75.50	73.50	strong	Green yellow	Brown	streaked	crisp	White	10th May10% flowering, 15th MayFull (80%) flowering, 25th May90% petal fall	Late October	low		fine
Rhode Island Greening	Triploid. Thought to have originated at Green's End, Newport, Rhode Island, USA. It was already known by 1650. Fruits have rather coarse-textured, juicy flesh with a pleasant flavour.	Bell Dubois, Burlington Greening, Ganges, Green Newtown Pippin, Green Winter Pippin, Greening, Greenling von Rhode Island, Grunling von Rhode Island, Grunling von Rhode-Island, Hampshire Greening, Island's Grunling, Jersey Greening, Lindley Green Newton Pippin, Pomme Verte de Rhode-Island, Reinette du Seeland, Rhode Island, Rhode Island (Greening), Rhode-Island Greening, Russine, Seelander Reinette, Serinkia, Verte de Ile de Rhodes, Verte de l'Ile de Rhodes, Verte de Rhode Island, Verte de Rhode-Island, Zelence Rhodoislandske, Zelenka Rod-Ailend skaya	Material available from the National Fruit Collection.	Flat globose	large-very large	66.23	83.15	strong-very strong	Whitish yellow	Brown			Yellowish	4th May10% flowering, 9th MayFull (80%) flowering, 17th May90% petal fall	Early October	low	medium	fine
Rhode Island Greening (4x)			Material available from the National Fruit Collection.	Flat	large-very large			weak-medium	Whitish green	Brown		crisp	White	6th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Early October	low	weak	fine
Ribonde	Availability		Material available from the National Fruit Collection.	Flat globose	small-medium				Whitish yellow	Brown			White	18th May10% flowering, 24th MayFull (80%) flowering, 2nd June90% petal fall	Early October	very low		
Ribston Pippin (LA)	Raised at Ribston Hall, Yorkshire, England from seed brought from Rouen, and planted in about 1707. Received the Award of Merit from the Royal Horticultural Society in 1962. Fruits have firm, fine-textured, moderately juicy flesh with a rich aromatic flavour.	Beautiful Pippin, Englische Granat Reinette, Englische Granat-Reinette, Englische Granatreinette, Englische Granatrenette, English Granat Reinette, Essex Pippin, Flory of York, Formosa, Formosa Pepping, Formosa Pippin, Glory of York, Granat-Reinette, Granatreinette, Jadrnac Ribstonsky, Kaiser Reinette, Lord Raglan, Nonpareil d'Angleterre, Nonpareille, Nonpareille d'Angleterre, Pepin de Ribston, Pepin Ribston, Pepin Ribstona, Pepina Ribstona, Pomme Granatee, Pomme Granite, Poppina Ribston, Reinette de Traver, Reinette de Travers, Reinette de Traves, Reinette Grenade Anglaise, Ribsten Renett, Ribston, Ribston Orange, Ribston Pepin, Ribston Pepping, Ribston-Pepping, Ribston's Pepping, Ribstone, Ribstone Pippin, Ribstonov Pepin, Ribstonské, Ribstonsky Jadernac, Ridge, Rockhill's Russet, Traver's, Traver's Apple, Traver's Pippin, Traver's Reinette, Travers, Travers Apple, Travers Peppin, Travers Pippin, Travers Reinette, Travers', Travers' Apfel, Travers' Pippin, Travers's, Travers's Apple, Travers's Reinette	Material available from the National Fruit Collection.	Flat	medium	55.50	66.50	medium	Yellow	Orange	streaked		Yellowish	3rd May10% flowering, 8th MayFull (80%) flowering, 16th May90% petal fall	Late September	low		fine
Richardson (Ireland)	Grafts were taken in about 1900 and brought to England in 1930 from Bessborough, Co. Kilkenny, Ireland by T.E. Tomalin, from the orchard of Richardson. Fruits have firm, crisp, fine, white flesh with a slightly acid flavour.		Material available from the National Fruit Collection.	Flat globose	medium			weak	Whitish green	Pink		crisp	White	7th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	Late September	low	weak-medium	fine
Richardson (USA)	Discovered in 1956 by L. Richardson at Hammond, New York, USA. Introduced in 1959 by nurseryman F.L. Ashworth, Heuvelton, New York. Fruits have firm, sweet flesh.		Material available from the National Fruit Collection.	Flat globose	medium			weak-medium	Whitish yellow	Orange			Cream	4th May10% flowering, 9th MayFull (80%) flowering, 18th May90% petal fall	Early September	low	weak-medium	
Ringer	Originated in the UK. Recorded in 1864. Fruits have tender, yellow flesh with an acid flavour.	Burgess	Material available from the National Fruit Collection.	Broad globose conical	large	63.00	76.00	medium	Yellow	Red	streaked		Yellowish	3rd May10% flowering, 9th MayFull (80%) flowering, 18th May90% petal fall	Early September	very low		
Ringstad	Raised in about 1818 by Notary Frans Rundberg at Ringstad near Norrkoping, Sweden. Fruits have fine, loose textured, crisp, white flesh with a sweet, slightly acid and aromatic flavour.	Notariens apple, Ringstadable, Ringstadsapple	Material available from the National Fruit Collection.	Broad globose conical	medium			medium	Green yellow	Red		crisp	White	6th May10% flowering, 10th MayFull (80%) flowering, 16th May90% petal fall	Early September			fine
Rival	Raised by Charles Ross at Newbury, Berkshire, England. First recorded in 1900. Introduced by Clibrans of Altrincham. Received an Award of Merit from the Royal Horticultural Society in 1900. Fruits have firm, fine-textured, juicy flesh with a slightly acid		Material available from the National Fruit Collection.	Flat	large	63.00	76.00		Green yellow	Red	striped		White	6th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Late September			
Rivers' Early Peach	Raised by Rivers of Sawbridgeworth, Hertfordshire. Introduced in 1893. Fruits have coarse, rather dry, white flesh with a sweet, aromatic flavour.	Early Peach, Rivers' Peach	Material available from the National Fruit Collection.	Truncate conical	medium			medium	Whitish yellow				White	27th April10% flowering, 4th MayFull (80%) flowering, 10th May90% petal fall	Mid August			coarse
Rivers' Nonsuch	Originally selected by Rivers Nurseries, Sawbridgeworth, England as a rootstock. It was known to be in existence in 1875. Fruits have crisp, yellowish flesh with a sweet, rich, perfumed flavour.	River's Nonesuch Paradise, River's Nonsuch, Rivers's Nonesuch	Material available from the National Fruit Collection.	Truncate conical	medium			medium	Yellow	Red	striped	crisp	Yellowish	5th May10% flowering, 10th MayFull (80%) flowering, 17th May90% petal fall	Mid September	very low		
Roanoke	Raised in 1949 by George D. Oberle, Virginia Polytechnic Institute, Blacksburg, USA. Introduced in 1967. Fruits are crisp and juicy with a mild flavour.		Material available from the National Fruit Collection.	Globose	large	62.77	73.87	very weak	Whitish yellow	Orange		crumbly	Yellowish	15th May10% flowering, 20th MayFull (80%) flowering, 26th May90% petal fall	Early October	absent	absent	
Roba	A more highly coloured clone of Erwin Baur. Fruits have fairly firm flesh with a sweet to subacid, aromatic flavour.		Material in the National Fruit Collection not currently available.	Flat globose	medium	55.12	67.37	weak	Green yellow	Orange			Cream	22nd April10% flowering, 24th AprilFull (80%) flowering, 3rd May90% petal fall	Early October	very low	weak	
Robert Blatchford	Raised by F. Chilvers, nurseryman, Hunstanton, Norfolk. Introduced in 1914. Keeps its shape when cooked.		Material available from the National Fruit Collection.	Globose	large-very large	81.45	100.15	weak-medium	Whitish yellow	Orange			Cream	11th May10% flowering, 16th MayFull (80%) flowering, 24th May90% petal fall	Early October	low	weak-medium	
Robin Pippin	A chance seedling originating at Gate House Farm, Brenchley, Kent. Fruits have firm, fine, moderately juicy flesh with a pleasant flavour.		Material available from the National Fruit Collection.											7th May10% flowering, 11th MayFull (80%) flowering, 19th May90% petal fall	Late August			
Robinson 1														""				
Robinson 2														""				
Rock (Lanarkshire)	Availability		Material available from the National Fruit Collection.	Truncate conical	small-medium			medium	Green yellow				White	3rd May10% flowering, 8th MayFull (80%) flowering, 14th May90% petal fall	Early September	low		
Rod Tonnes	A coloured sport of Tonnes. Originated with Rasmus Roed, Kolbjerk Mark, Denmark. In existence in 1942. Fruits have rather soft, fine, creamy white flesh with a sweet, slightly subacid and slightly aromatic flavour.	Red Tonnes	Material available from the National Fruit Collection.	Ellipsoid	medium			strong	Yellow	Red		crisp	White	2nd May10% flowering, 9th MayFull (80%) flowering, 17th May90% petal fall	Mid October	very low	strong	fine
Rode Wagenaar	Raised at IVT, Wageningen, the Netherlands. Received by the National Fruit Trials in 1963. Fruits are crisp and juicy with a refreshing flavour.		Material available from the National Fruit Collection.	Truncate conical	large			weak-medium	Green yellow	Orange		crisp	White	2nd May10% flowering, 6th MayFull (80%) flowering, 16th May90% petal fall	Mid October	low	weak	
Rodluvan	Synonyms:	Coloured Spy, Double Red Northern Spy, Geneva Red Spy, Green's Red Spy, Northern Spy Double Red, Red Spy	Material in the National Fruit Collection not currently available.	Globose conical	medium	64.50	76.10	weak-medium	Whitish green	Purple				""		very low	weak	
Rogers McIntosh (LA 76A)	A more highly coloured sport of McIntosh. Originated before 1930 at Densville, New York, USA, with Isaac C. Rogers. Introduced in 1932. Fruits have white, rather soft, fine-textured, very juicy flesh with a sweet, pleasant vinous flavour.	Double Red McIntosh, McIntosh Rogers New York Strain, Red McIntosh, Rogers Red McIntosh	Material available from the National Fruit Collection.							Dark Red				1st May10% flowering, 6th MayFull (80%) flowering, 13th May90% petal fall	Mid September			
Rokewood	Originated in Australia, either Victoria or Western Australia. Received by the National Fruit Trials in 1951. Fruits have firm, crisp, greenish white flesh with a sweet, subacid flavour.	Bullock's Seedling	Material available from the National Fruit Collection.	Truncate conical	medium	49.50	55.50	weak	Green yellow	Orange	streaked	crisp	Greenish	30th April10% flowering, 6th MayFull (80%) flowering, 15th May90% petal fall	Late October	low		
Rome Beauty	Originated with H.N. Gillett in Lawrence County, Ohio, USA. Brought to notice in 1848. Fruits have creamy white, rather coarse-textured, juicy flesh with very little flavour. Fruits do not mature well in the UK.	?Imperatore, ?Morella, Beaute de Rome, Belle de Rome, Faust's Rome Beauty, Frumusetea Romei, Gillet's Seedling, Gillett's Seedling, Morgenduit, Mussolinieapfel, Pomme de Romagne, Rimskaia Krasavita, Rimskaya Krasavitsa, Rimske Krasne, Roma szepe, Roman Beauty, Rome, Rome's Beauty	Material available from the National Fruit Collection.	Oblong	medium-large	61.50	77.50	weak	Whitish yellow	Orange	striped		Greenish	13th May10% flowering, 19th MayFull (80%) flowering, 25th May90% petal fall	Mid October			coarse
Rosa del Caldaro	Thought to have originated in the district of Caldaro, Venezia Tridentina, Italy. Described in 1889. Fruits have soft, fine, white flesh with a sweet subacid and slightly perfumed flavour.	?Rosa Mantovana, Apfel von Mantua, Bohmer, Bohmer von Kaltern, Kalterer, Kalterer Boehmer, Kalterer Bohmer, Kaltererbemer, Mantovano, Mantuaner, Mantuanskoe, Nariadnoe, Pomme de Mantoue, Rosa di Caldaro, Rosa gentile, Zimnee raspisnoe, Zimnee zolotoe semechko, Zimnee zolotoe semiaciko	Material available from the National Fruit Collection.	Broad globose conical	medium	52.46	62.92	weak-medium	Whitish yellow	Red			White	2nd May10% flowering, 7th MayFull (80%) flowering, 15th May90% petal fall	Early October	very low	weak	fine
Rosa du Perche	Originated in France. Described in 1947. Fruits have fairly fine, white flesh with a sweet and perfumed flavour.	Pourpree	Material available from the National Fruit Collection.	Oblong	medium-large			weak	Green yellow	Red	streaked		White	7th May10% flowering, 12th MayFull (80%) flowering, 19th May90% petal fall	Early October	very low		fine
Rosanne	Originated with Mr Waller of Hobart, Tasmania, Australia. Fruits have soft, juicy, pink stained flesh with a perfumed flavour.		Material available from the National Fruit Collection.	Flat globose	large			weak-medium	Whitish yellow	Dark Red		crisp	White	3rd May10% flowering, 8th MayFull (80%) flowering, 16th May90% petal fall	Mid September	low	weak	
Rose de Benauge	Thought to have originated in the Bordeaux district of France. Recorded in 1872. Fruits have firm, fairly tender, yellowish white flesh with a sweet subacid flavour.	Bonne de Mai, Cadillac, Codillac, de Cadillac, Dieu, Dieudonne, Pomme de Cadillac, Pomme de Codellac, Pomme de Codillac, Rose (de Knoop), Rose d ' Hollande, Rose d' Holland, Rose de Dropt, Rose de Holland, Rose de Hollande, Rose de la Bénauge, Rose de la Benauge, Rose de Mai, Rose du Dropt, Rose Tendre, Rosenapfel aus Benauge, Rozovka iz Benozha	Material available from the National Fruit Collection.	Broad globose conical	medium			weak-medium	Green yellow	Orange			White	17th May10% flowering, 22nd MayFull (80%) flowering, 29th May90% petal fall	Late October	low	weak	
Rose de Bouchetiere (Isere)	Availability		Material available from the National Fruit Collection.	Flat	medium	51.00	66.00	weak-medium	Whitish yellow	Orange	streaked		Greenish	4th May10% flowering, 9th MayFull (80%) flowering, 15th May90% petal fall	Late October	low-medium		fine
Rose Double	Availability		Material available from the National Fruit Collection.	Flat	medium	51.00	63.00	medium	Yellow				Cream	21st May10% flowering, 26th MayFull (80%) flowering, 1st June90% petal fall	Mid October	very low		
Rose Rouge (Loire)	Availability		Material available from the National Fruit Collection.	Flat globose	medium			weak-medium	Yellow	Pink			White	7th May10% flowering, 12th MayFull (80%) flowering, 18th May90% petal fall	Late October	low	medium	coarse
Rosemary Russet (LA 65A)	Raised in England. First described in 1831. Fruits have firm, fine-textured, juicy flesh with a rather acid and good flavour.	Benskin's Russet, Buzzan, Rosemary, Rosemary Apple	Material available from the National Fruit Collection.	Truncate conical	medium	55.00	70.00	weak	Green yellow	Brown			White	6th May10% flowering, 10th MayFull (80%) flowering, 19th May90% petal fall	Early October	high-very high		fine
Rosioare Calugaresti	Availability		Material available from the National Fruit Collection.	Flat	medium	51.00	62.00	weak-medium	Green yellow	Dark Red	striped	crisp	White	2nd May10% flowering, 6th MayFull (80%) flowering, 14th May90% petal fall	Late October	low		fine
Rosmarina Bianca	Originated in the Botzen district of the Tyrol, Italy. Known by the early 1800s. Fruits have fairly fine, tender flesh with a sweet subacid flavour.	Bile rozmarinove, Botzner Rosmarin-Apfel, Edelweisser, Feher Rozmarin alma, Italian Rose, Italienischer Weisser Rosmarin, Mela Carla de Rosmarino, Mela de Rosmarino, Mela di Rosmarino, Pomme Romarin blanche, Romarin Blanc, Romarin Blanche, Rosmarin belii, Rosmarino, Rosmarino bianco, Rosmarynowe tyrolskie, Rozmarin Alb, Rozmarin alma, Rozmarin belui, RozmarynovT Fenix, Weisse italienische Rosmarinapfel, Weisser Italienischer Rosmarin, Weisser Italienischer Rosmarinapfel, Weisser Rosmarin, Weisser Rosmarinapfel, Weisser Rosmarinapfel Italienische, Weisser Schlotter- Apfel, White Romarin	Material available from the National Fruit Collection.	Conical	medium			weak	Yellow	Pink		crisp	White	10th May10% flowering, 14th MayFull (80%) flowering, 22nd May90% petal fall	Mid October	low	weak-medium	fine
Ross Nonpareil	Originated from Ireland. Recorded in Meath in 1802. Introduced by Robertson to England in 1819. Fruits have firm, rather dry flesh with a rich, aromatic flavour.	French Pippin, Lawson Pearmain, Non-Pareille de Ross, Nonpareil Ross, Nonpareille de Ross	Material available from the National Fruit Collection.	Broad globose conical	medium	44.00	57.00	very weak	Whitish yellow	Orange	streaked	crisp		2nd May10% flowering, 8th MayFull (80%) flowering, 15th May90% petal fall	Late September	high-very high		fine
Rossie Pippin	Availability		Material available from the National Fruit Collection.	Oblong	medium-large	60.50	71.50	strong	Green yellow	Orange			Greenish	6th May10% flowering, 11th MayFull (80%) flowering, 18th May90% petal fall	Early September	low		fine
Rosso del Povero	Availability		Material available from the National Fruit Collection.	Globose	medium			medium	Whitish yellow	Pink		crisp	Yellowish	8th May10% flowering, 13th MayFull (80%) flowering, 20th May90% petal fall	Mid October	very low	medium-strong	
Rosy Blenheim	Raised by F.W. Thorrington, Hornchurch, Essex. Received by the National Fruit Trials in 1925. Fruits have soft, coarse, whitish flesh with a subacid, perfumed flavour.		Material available from the National Fruit Collection.	Flat	medium-large	58.00	73.50	weak	Green yellow	Orange	streaked		White	6th May10% flowering, 11th MayFull (80%) flowering, 20th May90% petal fall	Early October	low-medium		coarse
Rote Goldparmane	A more highly coloured clone of King of the Pippins. Received by the National Fruit Trials in 1967 from Germany. Fruits are firm, juicy and subacid with a brisk and slightly aromatic flavour.		Material available from the National Fruit Collection.	Globose conical	small-medium			weak	Yellow	Orange		crisp	White	9th May10% flowering, 14th MayFull (80%) flowering, 21st May90% petal fall	Early October	low	weak	
Roter Ananas	Found at Sieglitzerberg on the Elbe by Richter, Germany. Described in 1854. Fruits have fine, firm, yellowish white flesh becoming pink stained under the skin with a sweet, subacid flavour.	Ananas, Ananas Rouge, Ananasapfel Roter, Ananasnoe Krasnoe, Ananasove Cervene, Bromelia Ananas, Krasnyi Ananas, Rau Ananas, Rod Ananas, Rodt Ananasoeble, Rodt Hdstananasapple, Rothe Ananas, Rother Ananas, Rother Ananasapfel, Rott Ananasaeble, Rott Ananasapple	Material available from the National Fruit Collection.	Conical	medium			medium	Yellow	Red			Yellowish	8th May10% flowering, 14th MayFull (80%) flowering, 21st May90% petal fall	Late September	very low		fine
Roter Eiserapfel	Originated in Germany in the early 1700s. Fruits have very hard, fine, creamy white flesh with a sweet, subacid flavour.	Arsapple, Bamberger, Braunsilien apfel, Braunsilienapfel, Cristapfel, der rothe drei Jahre dauernde Streifling, Doppelder Paradiesapfel, Doppelter Paradies, Drei Jahr dauernder Mutterapfel, Drei Jahr dauernder Streifling, Drei Jahre dauern der Streifling, Drei Jahre dauernder, Durable Trois Ans, Duracinum acido dulce, Eiser, Eiser rote, Eiser Rouge, Elizer rosu, Erythromelum diu durans, Fier rosu, Fragone, Herzapfel, Hunt's Royal Red, Jarnapple, Jeptiska, Kalusapfel, Kloserapfel, Kloster Apfel, Kohlapfel, Krasnii jelesniak, Krasnoe Aizera, Krasnoe sivera, Krasnoe zheleznoe, Krasnyi zheleznyak, Mahrenholz, Mela Dura Rossa, Mohrenbordorfer, Mohrenborsdorder, Mohrenkopf, Mohrenstettiner, Nagelsapfel, Paradies Apfel, Paradiesapfel, Pomme Eiser Rouge, Pomme rouge ravee, Rageleapfel, Rahm Apfel, Rahmapfel, Red Eisen, Rodt arsapple, Roode dubbelde Paradys-Appel, Rossa di Eiser, Rote Eiserapfel, Roter Bach, Roter Calvillartiger Suss Apfel, Roter Calvillartiger Winter Suss Apfel, Roter Calvillartiger Winter Sussapfel, Roter drei Jahre dauernder Streifling, Roter Eiser, Roter Eiser Apfel, Roter Jahrapfel, Roter Krieger, Roter Paradiesapfel, Roter Winter Calvill Suss Apfel, Roter Winter Calvill Sussapfel, Rother Bachapfel, Rother Backapfel, Rother Calvillartiger Sussapfel, Rother Calvillartiger Wintersussapfel, Rother drei Jahre dauernder Streifling, Rother Eiser, Rother Eiserapfel, Rother Wintercalvillsussapfel, Rott Jarnapple, Rouge Ravee, Rouge ravee durable trois ans, Schornsteinfeger, Schorsteinfeger, Tartos Piros Alma, Treckhletnee, Zelezne jablko, Zelezniac, Zelezniak	Material available from the National Fruit Collection.	Conical	medium	54.00	58.50	medium	Green yellow	Orange			Cream	10th May10% flowering, 15th MayFull (80%) flowering, 24th May90% petal fall	Mid October	low		fine
Roter Munsterlander Borsdorfer	Synonyms:	Borsdorfer Munsterlander Roter	Material available from the National Fruit Collection.	Globose conical	medium-large			weak	Green yellow	Dark Red			Greenish	9th May10% flowering, 14th MayFull (80%) flowering, 23rd May90% petal fall	Late October	low-medium	very weak	coarse
